GlobalID,InfraYear,Region,Province,Municipality,ImplementingOffice,ProjectID,ProjectDescription,ProjectComponentID,ProjectComponentDescription,Program,TypeofWork,infra_type,Longitude,Latitude,ContractID,ABC,ContractCost,CompletionDateOriginal,CompletionYear,Contractor,ObjectId,CreationDate,Creator,EditDate,Editor,FundingYear,LegislativeDistrict,DistrictEngineeringOffice,ABC_String,ContractCost_String,CompletionDateActual,StartDate,type,slug
79e8be69-90ab-488d-bf10-9204d41338ab,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824759LZ,"Construction of Babuyan River Flood Control Strucure Downstream (RS), Palawan",P00824759LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Babuyan River Flood Control Strucure Downstream (RS), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,118.89245,9.99653,24EG0058,17963475,17961569.07,1720828800000,2024,AZARRAGA CONSTRUCTION,1,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,17963475,17961569.07,2024-05-23,02/15/2024,flood_control,construction-of-babuyan-river-flood-control-strucure-downstream-rs-palawan-24eg0058
dea02c2f-d69d-4757-8d21-853e001736c5,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824758LZ,"Construction of Flood Control Strucurue along Langogan River Downstream (LS), Palawan",P00824758LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Strucurue along Langogan River Downstream (LS), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,118.89251,9.99761,24EG0057,17370000,17369992.99,1721692800000,2024,AZARRAGA CONSTRUCTION,2,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,17370000,17369992.99,2024-07-19,02/23/2024,flood_control,construction-of-flood-control-strucurue-along-langogan-river-downstream-ls-palawan-24eg0057
7177ab8b-b330-40f5-bdda-44ce7823ddf8,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824750LZ,"Construction of Babuyan River Flood Control Strucure Upstream (LS), Palawan",P00824750LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Babuyan River Flood Control Strucure Upstream (LS), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,118.89323,9.99671,24EG0017,18335000,16802607.63,1721779200000,2024,F.F. GALANG CONSTRUCTION,3,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,18335000,16802607.63,2024-07-24,02/23/2024,flood_control,construction-of-babuyan-river-flood-control-strucure-upstream-ls-palawan-24eg0017
fcf681df-bf3b-47a6-8807-01f94106bef9,2023,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00737551LZ,"Construction of Flood Control Structure, Barangay Maoyon, Puerto Princesa City, Palawan",P00737551LZ-CW1,"Construction of Drainage Structure - Construction of Flood Control Structure, Barangay Maoyon, Puerto Princesa City, Palawan",,Construction of Drainage Structure,Flood Control Structures,118.89970167,10.00265833,23EG0016,4900000,4899590,1682035200000,2023,PALBIC CONSTRUCTION AND SUPPLY,4,1754268322388,dpwh_view,1754303523936,dpwh_view,2023,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,4900000,4899590,2023-05-05,02/15/2023,flood_control,construction-of-flood-control-structure-barangay-maoyon-puerto-princesa-city-palawan-23eg0016
a3d64d20-0d8d-4b61-abdd-38a3bd840c77,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Region IV-B,P00823565LZ,"Construction of Tanabag River Waterway, (Upstream Rightside), Palawan",P00823565LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Tanabag River Waterway, (Upstream Rightside), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,118.99017684,9.99904334,24E00127,154400000,154395357.9,1737072000000,2024,OCTAGON CONCRETE SOLUTIONS INC. / MAC BUILDERS CORP. (FORMERLY: MAC BUILDERS DEVELOPMENT CORPORATION),5,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,154399999.99,154395357.94,2024-09-05,03/09/2024,flood_control,construction-of-tanabag-river-waterway-upstream-rightside-palawan-24e00127
8b63bf01-6143-4d81-bccb-2a14cd258943,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824756LZ,"Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan",P00824756LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Strucurue along Langogan River Upstream (LS), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,119.12203,10.02967,24EG0055,17370000,17369997.4,1727740800000,2024,MAINTIN CONSTRUCTION & SUPPLY,6,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,17370000,17369997.4,2024-09-17,02/15/2024,flood_control,construction-of-flood-control-strucurue-along-langogan-river-upstream-ls-palawan-24eg0055
997edf5c-a750-46f8-ba98-7c48760656da,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824757LZ,"Construction of Flood Control Strucuruealong Langogan River Upstream (RS), Palawan",P00824757LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Strucuruealong Langogan River Upstream (RS), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,119.12383,10.02881,24EG0056,17370000,16120415.26,1721520000000,2024,LOUIESE TRADING AND CONSTRUCTION,7,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,17370000,16120415.26,2024-06-25,02/23/2024,flood_control,construction-of-flood-control-strucuruealong-langogan-river-upstream-rs-palawan-24eg0056
e883c93b-9ef9-4a3d-8550-dc3ef66bb746,2024,Region IV-B,PALAWAN,PUERTO PRINCESA CITY (CAPITAL) (PALAWAN),Palawan 3rd District Engineering Office,P00824760LZ,"Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan",P00824760LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Flood Control Strucurue along Langogan River Downstream (RS), Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,119.12416,10.02751,24EG0059,17370000,17370000,1726272000000,2024,TAGUSAO CONSTRUCTION & TRADING INC. (FORMERLY: TAGUSAO CONSTRUCTION & TRADING),8,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PALAWAN (THIRD LEGISLATIVE DISTRICT),Palawan 3rd District Engineering Office,17370000,17370000,2024-09-13,02/15/2024,flood_control,construction-of-flood-control-strucurue-along-langogan-river-downstream-rs-palawan-24eg0059
e8971e1b-6acc-4ac0-a92f-48ff604c4911,2023,Region IV-B,PALAWAN,ROXAS (PALAWAN),Palawan 1st District Engineering Office,P00726266LZ,"Construction of Magsarongsong Bridge Flood Control Structure, Sta. 0 + 000.00 - Sta. 0 + 084.00, Bank I UPSTREAM (L/S), Sta. 0 + 000.00 - Sta. 0 + 084.00, BANK II UPSTREAM (L/S), Roxas, Palawan",P00726266LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Magsarongsong Bridge Flood Control Structure, Sta. 0 + 000.00 - Sta. 0 + 084.00, Bank I UPSTREAM (L/S), Sta. 0 + 000.00 - Sta. 0 + 084.00, BANK II UPSTREAM (L/S), Roxas, Palawan",,Construction of Flood Mitigation Structure,Flood Control Structures,119.206224,10.25288,23EE0029,9064943.69,9014282.42,1694390400000,2023,PANAAD CONSTRUCTION,9,1754268322388,dpwh_view,1754303523936,dpwh_view,2023,PALAWAN (FIRST LEGISLATIVE DISTRICT),Palawan 1st District Engineering Office,9064943.69,9014282.42,2023-09-12,04/18/2023,flood_control,construction-of-magsarongsong-bridge-flood-control-structure-sta-0-00000---sta-0-08400-bank-i-upstream-ls-sta-0-00000---sta-0-08400-bank-ii-upstream-ls-roxas-palawan-23ee0029
7343ac2c-337b-45c2-8819-91bac6e56b2b,2024,Region I,PANGASINAN,SANTA BARBARA (PANGASINAN),Region I,P00821520LZ,"Construction of Slope Protection along Sinucalan River, Barangay Poblacion Norte, Sta. Barbara, Pangasinan",P00821520LZ-CW1,"Construction of Flood Mitigation Structure - Construction of Slope Protection along Sinucalan River, Barangay Poblacion Norte, Sta. Barbara, Pangasinan",,Construction of Flood Mitigation Structure,Flood Control Structures,120.400763,16.006788,24A00250,48250000,48248598.38,1727740800000,2024,ALCEL CONSTRUCTION,10,1754268322388,dpwh_view,1754303523936,dpwh_view,2024,PANGASINAN (THIRD LEGISLATIVE DISTRICT),Pangasinan 4th District Engineering Office,48250000,48248598.38,2024-09-23,03/07/2024,flood_control,construction-of-slope-protection-along-sinucalan-river-barangay-poblacion-norte-sta-barbara-pangasinan-24a00250
